Rechnungswesen V.8.27;;;;;;;;;;;;;;;;
653680/40950/2020;;;;;;;;;;;08.10.2020;;;;;
Adressliste;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
X-Direct Works GmbH;;;;;;;;;;;Seite 1;;;;;
(Kreditorenstammdaten);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Konto;;Beschriftung;;Unternehmensgegenstand;;;;Postfach oder Straße;;;;Kunden-Nr.;;;;
;;;;;;;;;;;;;;;;
;;;;Telefon-Nr.;;;;PLZ / Ort;;;;USt-IdNr. o. Länderkennz.;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70000;;Autohaus Staffel GmbH;;;;;;Müschener Str. 2;;;;119943;;;;
;;;;06431-9155-0;;;;65555 Limburg a.d. Lahn;;;;DE 113828959;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70002;;AB Autoservice UG;;;;;;Am Wolfsgestell 2;;;;70002;;;;
;;;;02664-9935526;;;;56477 Rennerod, Westerw;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70041;;Mildan import & Export;;;;;;Mannheimer  Str.  15;;;;70041;;;;
;;;;;;;;60329 Frankfurt am Main;;;;DE 213065955;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70042;;C-E-G Consulting-Engineers-Göttig GmbH i;;;;;;Bensheimer Str. 52;;;;70042;;;;
;;;;;;;;67547 Worms;;;;DE 224529566;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70043;;TIP Trailer Services Germany GmbH;;;;;;Bredowstraße 20;;;;70043;;;;
;;;;;040/350880;;;;22113 Hamburg;;;;DE 813129460;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70044;;Alrad Plettac Assco GmbH;;;;;;Postfach 5242;;;;70044;;;;
;;;;;;;;58829 Plattenberg;;;;DE 813876548;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70045;;Oliver, Cerovski;;;;;;;;;;70045;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70046;;GerüstBau Fedek;;;;;;Jossaweg 2;;;;70046;;;;
;;;;;;;;63071 Offenbach am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70047;;Jacek Wojcik;;;;;;Habichtshöhe 41;;;;70047;;;;
;;;;;;;;59073 Hamm;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70048;;Dipl.-Ing. Hartmut M. Bähtz;;;;;;In den Weingärteb 174;;;;70048;;;;
;;;;;;;;65760 Eschborn;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
70049;;ABG Frankfurt Holding GmbH;;;;;;Niddastraße 107;;;;70049;;;;
;;;;;;;;60329 Frankfurt am Main;;;;DE 811280294;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70050;;HD Brandschutz;;;;;;Oeserstr. 28;;;;70050;;;;
;;;;;;;;65934 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70100;;Drutex S.A.;;;;;;;;;;70100;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70101;;BG Bau Berufsgenossenschaft;;;;;;;;;;MM10.962.904.11;;;;
;;;;;02023983711;;;;42095 Wuppertal;;;;Deutschland;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70102;;BMW AG Niederlassung Frankfurt;;;;;;Hanauer Landstr. 255;;;;70102;;;;
;;;;;;;;60314 Frankfurt;;;;DE 129273398;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70104;;BMW Bank GmbH;;;;;;;;;;70104;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70105;;Bochmann + Neeb KG;;;;;;Hoenbergstr. 7a;;;;70105;;;;
;;;;06431-27000;;;;65555 Limburg a.d. Lahn;;;;DE 113291428;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70106;;BMW AG - Niederlassung Offenbach;;;;;;Spessartring 9;;;;5228526;;;;
;;;;;069-850001-0;;;;63071 Offenbach am Main;;;;Deutschland;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70107;;Bundesanzeiger;;;;;;Postfach 100534;;;;100628608;;;;
;;;;0221 976680;;;;50735 Köln;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70111;;BWEAR Textiles & Merchandising GmbH;;;;;;Schäferstr. 8;;;;11676;;;;
;;;;;069-73997581;;;;63069 Offenbach/Main;;;;DE 309484410;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70113;;Boden und Gut;;;;;;;;;;70113;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70115;;Becker Brennstoffhandel;;;;;;Raiffeisenstr. 7;;;;70115;;;;
;;;;;;;;36157 Ebersburg;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70116;;Baumaschinen Dietrich;;;;;;;;;;70116;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70117;;BAUHAUS E.-Business GmbH & Co.KG;;;;;;Gutenbergstr. 21;;;;70117;;;;
;;;;;;;;68167 Mannheim;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70118;;BBS Beton-Bohrservice T. Blum;;;;;;Höhenfelder Hof;;;;70118;;;;
;;;;;;;;65589 Hadamar;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70119;;Baukran Logistik;;;;;;Silostr. 50;;;;70119;;;;
;;;;;;;;65929 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70120;;BVS Hessen/Rheinland-Pfalz/Saar GmbH & C;;;;;;Hintere Bleiche 38;;;;70120;;;;
;;;;;;;;55116 Mainz;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70121;;BMW Niedelassung Saar-Pfalz;;;;;;;;;;70121;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70122;;Hein Industrieschilder;;;;;;Vertrieb@hein.eu;;;;70122;;;;
;;;;;;;;74889 Sinsheim;;;;DE 144336806;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70123;;Hessia Baustoffe GmbH;;;;;;Eichenstraße 21;;;;70123;;;;
;;;;06930065650;;;;65933 Frankfurt am Main;;;;DE 114164108;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70124;;Hessberger Baustellentechnik;;;;;;Lorscher Straße 90;;;;70124;;;;
;;;;;;;;60489 Frankfurt am Main;;;;DE 114164077;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70125;;NV Techische Waren Werkzeuge & Maschinen;;;;;;Karlsruher Str. 10;;;;70125;;;;
;;;;;;;;60329 Frankfurt am Main;;;;DE 295315920;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70128;;GeoIngenieure FLG GmbH;;;;;;Platanenallee 23;;;;70128;;;;
;;;;;;;;64832 Babenhausen;;;;DE 241909525;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70129;;Rubart GmbH;;;;;;Erfurterstr 40;;;;70129;;;;
;;;;;;;;44143 ;;;;DE 275184748;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70130;;Terrasond Gesellschaft für Baugrundunter;;;;;;St. Ulrich-Straße 12-16;;;;70130;;;;
;;;;;;;;89312 Günzburg;;;;DE 170527936;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70202;;Car Plus Service GmbH;;;;;;;;;;70202;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70203;;CDD-Container Dienst Dreieich Totzek GmbH;;;;;;Daimlerstr. 7;;;;70203;;;;
;;;;;;;;63303 Dreieich;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70204;;C.G. Garten- und Landschaftsbau;;;;;;Dielstraße 12;;;;70204;;;;
;;;;;;;;65582 Diez;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70205;;Containerservice Frankfurt GmbH;;;;;;Eichenstr. 83;;;;70205;;;;
;;;;;;;;65933 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70300;;DIS GmbH;;;;;;Fritz Mueller Str. 105;;;;10320;;;;
;;;;0711-9012538-0;;;;73730 Esslingen am Neckar;;;;DE 240238749;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70301;;DEKRA Automobil GmbH;;;;;;Wallersheimer Weg 63-67;;;;70301;;;;
;;;;0261 80730;;;;56070 Koblenz;;;;DE 811297970;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70303;;DEKUSHOP.de;;;;;;Lindleystr. 7;;;;70303;;;;
;;;;;;;;60314 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70304;;DKV;;;;;;;;;;70304;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70306;;DB s.c. Slawonmir Bankowski, Maciej Daas;;;;;;;;;;70306;;;;
;;;;;;;; ;;;;PL 5891938554;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70307;;Artur Diez - Holzhandel;;;;;;Postfach 1132;;;;70307;;;;
;;;;;;;;35606 Solms;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70308;;Karl Dudler Architekten;;;;;;Schwanthaler Str. 59;;;;70308;;;;
;;;;;;;;60596 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70309;;Mobi Sanitärsysteme GmbH;;;;;;Ziegelei Str. 7;;;;70309;;;;
;;;;;;;;86368 Gersthofen;;;;DE 175427024;;;;
;;;;;;;;;;;;;;;;
70310;;Duessel-Stapler Handelsvertretung;;;;;;An der Lehrkuhle 19;;;;70310;;;;
;;;;;;;;40625 Düsseldorf;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70400;;euroShell Deutschland GmbH & Co.KG;;;;;;Suhrenkamp 71-77;;;;70400;;;;
;;;;;040-809080500;;;;22335 Hamburg;;;;DE 815303369;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70403;;engelbert & strauss;;;;;;;;;;70403;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70404;;Elektro Cicak d.o.o. za trgovinu - Kroat;;;;;;;;;;70404;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70405;;Elektro Benischke;;;;;;;;;;70405;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70503;;Fay & Schaaf;;;;;;;;;;70503;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70505;;ing.-büro Fischer & Werle;;;;;;;;;;70505;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70506;;Feickert Spezial Tiefbau GmbH;;;;;;;;;;70506;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70600;;Bördner GmbH;;;;;;;;;;70600;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70601;;GSW Elektro Anlagenbau GmbH;;;;;;St. Walbertusstr. 8;;;;70601;;;;
;;;;;0611-502657;;;;65207 Wiesbaden;;;;Deutschland;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70606;;Gefas FFM GmbH;;;;;;Hostatostr. 35;;;;70606;;;;
;;;;;;;;65929 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70610;;goritzka akustik;;;;;;Handelsplatz 1;;;;70610;;;;
;;;;;;;;04319 Leipzig;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70704;;Myland GmbH;;;;;;Sophienstr. 78;;;;70704;;;;Group
;;;;;;;;60487 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;035144834550;;;;35394 Gießen;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
70706;;Hessen Container Klaus Levy;;;;;;Homburger Landstr. 247;;;;70706;;;;
;;;;;;;;60435 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70707;;Hein Maschinen Mietservice;;;;;;;;;;70707;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70708;;H&H Metallbau GbR;;;;;;Rübenstück 1;;;;70708;;;;
;;;;;;;;35794 Mengerskirchen;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70711;;Hofmann-Rieg Stahlhandel GmbH;;;;;;;;;;70711;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70712;;H.D. Bau GmbH;;;;;;;;;;70712;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70713;;Hilti Deutschland AG;;;;;;;;;;70713;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70714;;Hornbach Baumarkt AG;;;;;;Hornbachstr. 11;;;;70714;;;;
;;;;;;;;76879 Bornheim;;;;DE 151116749;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70715;;HMS;;;;;;Kiefeernstraße 15;;;;70715;;;Storch;
;;;;;;;;65933 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70801;;IHK Limburg;;;;;;Walderdorffstr. 7;;;;478437;;;;
;;;;06431 2100;;;;65549 Limburg a.d. Lahn;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70803;;Ingenieur - Büro Jung;;;;;;;;;;70803;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70804;;INSERNO Baugesellschaft mbH;;;;;;Saatwinkler Damm 42/43;;;;70804;;;;
;;;;;;;;13627 Berlin;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70805;;TP - Ingenieur GbR (Dipl. Ing. Sait Diya;;;;;;;;;;70805;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70901;;JL Baudekoration GmbH;;;;;;Frankfurter Str. 105;;;;70901;;;;
;;;;06103-960400-9;;;;63303 Dreieich;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71001;;Kran-Burgard GmbH;;;;;;Otto-Hahn-Straße 18;;;;71001;;;;
;;;;;;;;35510 Butzbach;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71002;;Klapper, Thomas Accounting, Projects;;;;;;Iserbachstr. 38;;;;002;;;;
;;;;;06472-8314567;;;;35789 Weilmünster;;;;Deutschland;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71009;;Käuferle GmbH;;;;;;;;;;71009;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71011;;Engel & Jung GbmH & Co. KG;;;;;;Pfingstweide 4;;;;71011;;;;
;;;;;06406 9161 - 0;;;;35457 Lollar;;;;DE 112644836;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71012;;Friedrich Bauzentrum GmbH & Co.KG;;;;;;Postfach 01 20;;;;200421;;;;
;;;;;06431 95 64 - 0;;;;65604 Elz;;;;DE 244906842;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71014;;Eisen Fischer;;;;;;Postfach 22 62;;;;71014;;;;
;;;;06431 50 20;;;;65555 Limburg-Offheim;;;;DE 113292105;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71100;;Landeshauptstadt Wiesbaden;;;;;;Georg-Marshall-Str. 4;;;;71100;;;;
;;;;;;;;65197 Wiesbaden;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71101;;Lia Baudekoration;;;;;;Friedhofstr. 54a;;;;71101;;;;
;;;;;;;;63500 Seligenstadt;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71104;;LAU SIU PUI;;;;;;;;;;71104;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71202;;KBM Motorfahrzeuge GmbH & Co.KG Mercedes;;;;;;Breslauer Str. 84-86;;;;666924;;;;
;;;;;;;;56566 Neuwied;;;;DE 149247682;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71203;;MTJZ;;;;;;Nibelungenplatz 3;;;;71203;;;;
;;;;069 9055993;;;;60318 Frankfurt am Main;;;;DE 199005244;;;;
;;;;;;;;;;;;;;;;
71205;;Miet Zentrum OF;;;;;;Schumannstr. 74;;;;71205;;;;
;;;;;;;;63069 Offenbach am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71206;;MAGNI Deutschland GmbH;;;;;;Schachtstr. 15;;;;71206;;;;
;;;;;;;;59379 Selm;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71207;;Mandausch Containerdienst GmbH;;;;;;;;;;71207;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71301;;NOWAWESER Spolka z.o.o.- PL;;;;;;;;;;71301;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71302;;NOSTA  Sea & Air GmbH;;;;;;Wendenstr. 4;;;;71302;;;;
;;;;;;;;20097 Hamburg;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71400;;Offenbacher Schlüsselzentrale;;;;;;Bieberer Str. 22;;;;1515;;;;
;;;;;;;;63065 Offenbach am Main;;;;DE 113510660;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71401;;Lackierzentrum Seltmann Gm;;;;;;Brückeberg 1b;;;;71401;;;;
;;;;;064315678;;;;65594 Runkel;;;;Deutschland;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
71600;;Q-railing Central Europe GmbH;;;;;;Hanns-Schwindt-Str. 8;;;;71600;;;;
;;;;;;;;81829 München;;;;DE 814592618;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71702;;Renault Leasing;;;;;;;;;;71702;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71703;;Regierungspräsidium Kassel;;;;;;Kurt-Schumacher-Str. 2;;;;71703;;;;
;;;;;;;;34117 Kassel;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71704;;Regierungspräsidium DA;;;;;;;;;;71704;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71706;;Wolfgang Reulbach;;;;;;;;;;71706;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71707;;RAKUTEN Deutschland GmbH;;;;;;;;;;71707;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71801;;Stadtverwaltung (Amt 32);;;;;;Kleyerstr. 86;;;;71801;;;;
;;;;;;;;60326 Frankfurt am Main;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71803;;SC-Leasing GmbH;;;;;;;;;;71803;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71804;;Autohaus Bilia GmbH & Co.KG;;;;;;An der Meil 6;;;;2136452;;;;
;;;;;06431-5295-0;;;;65555 Limburg a.d. Lahn;;;;DE 191213270;;;
